Task 0, Step 0, Simulation 8
Complete trajectory:
[walk] <knifeblock> (115)
[walk] <cutleryfork> (368)
[grab] <cutleryfork> (368)
[putback] <cutleryfork> (368) <kitchencounter> (93)
[walk] <plate> (369)
[walk] <condimentbottle> (150)
[walk] <peach> (65)
[walk] <candybar> (59)
[walk] <wallphone> (171)
[walk] <rug> (158)
[walk] <crackers> (66)
[walk] <faucet> (91)
[walk] <candybar> (59)
[walk] <lightswitch> (169)
[walk] <dishbowl> (55)
[walk] <wallshelf> (98)
[walk] <dishbowl> (152)
[walk] <kitchencounterdrawer> (88)
[walk] <apple> (48)
[walk] <nightstand> (95)
